name,pos,team,adp,notes
Matthew Golden,WR,GB,117.5,fp_rank=116;bye=11
Romeo Doubs,WR,NE,118.0,fp_rank=117;bye=11
Dalton Kincaid,TE,BUF,118.5,fp_rank=118;bye=7
Travis Kelce,TE,KC,118.5,fp_rank=119;bye=5
Jordan Mason,RB,MIN,121.5,fp_rank=120;bye=6
George Kittle,TE,SF,121.5,fp_rank=121;bye=8
Aaron Jones Sr.,RB,MIN,122.0,fp_rank=122;bye=6
Jayden Higgins,WR,HOU,124.0,fp_rank=123;bye=8
KC Concepcion,WR,CLE,124.0,fp_rank=124;bye=11
Khalil Shakir,WR,BUF,125.0,fp_rank=125;bye=7
Isaiah Likely,TE,NYG,125.0,fp_rank=126;bye=8
Jake Ferguson,TE,DAL,125.5,fp_rank=127;bye=14
Tyrone Tracy Jr.,RB,NYG,128.0,fp_rank=128;bye=8
Malik Willis,QB,MIA,129.0,fp_rank=129;bye=6
Jalen Coker,WR,CAR,129.5,fp_rank=130;bye=5
Dallas Goedert,TE,PHI,129.5,fp_rank=131;bye=10
Jacory Croskey-Merritt,RB,WAS,130.5,fp_rank=132;bye=7
Mark Andrews,TE,BAL,130.5,fp_rank=133;bye=13
Chris Rodriguez Jr.,RB,JAC,134.0,fp_rank=134;bye=7
C.J. Stroud,QB,HOU,137.0,fp_rank=135;bye=8
Stefon Diggs,WR,,137.5,fp_rank=136
Cam Ward,QB,TEN,137.5,fp_rank=137;bye=9
Keaton Mitchell,RB,LAC,140.5,fp_rank=138;bye=7
Sam Darnold,QB,SEA,141.0,fp_rank=139;bye=11
Oronde Gadsden II,TE,LAC,141.5,fp_rank=140;bye=7
Woody Marks,RB,HOU,142.0,fp_rank=141;bye=8
Houston Texans DST,DST,,142.0,fp_rank=201;bye=8
Daniel Jones,QB,IND,142.5,fp_rank=142;bye=13
Chig Okonkwo,TE,WAS,144.5,fp_rank=143;bye=7
Rashid Shaheed,WR,SEA,144.5,fp_rank=144;bye=11
Juwan Johnson,TE,NO,146.0,fp_rank=145;bye=8
Jalen McMillan,WR,TB,146.5,fp_rank=146;bye=10
Tyler Allgeier,RB,ARI,147.5,fp_rank=147;bye=14
Isiah Pacheco,RB,DET,150.0,fp_rank=148;bye=6
Brenton Strange,TE,JAC,151.0,fp_rank=149;bye=7
Dylan Sampson,RB,CLE,151.5,fp_rank=150;bye=11
Jauan Jennings,WR,MIN,152.0,fp_rank=151;bye=6
Bryce Young,QB,CAR,153.0,fp_rank=152;bye=5
Los Angeles Rams DST,DST,,154.0,fp_rank=208;bye=11
Tre Tucker,WR,LV,156.0,fp_rank=153;bye=13
Tyjae Spears,RB,TEN,157.0,fp_rank=154;bye=9
Hunter Henry,TE,NE,157.0,fp_rank=155;bye=11
Kenyon Sadiq,TE,NYJ,157.5,fp_rank=156;bye=13
Jalen Nailor,WR,LV,158.0,fp_rank=157;bye=13
